"","year","vote","race","language","interview","gender","turnout"
"34","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"35","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"36","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"37","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"38","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"39","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"40","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"41","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"42","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"43","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"44","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"45","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"46","2000","1. Democrat","6. Other or multiple races, non-Hispanic (1968-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"47","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"48","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"49","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"50","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"51","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"52","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"53","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"54","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"55","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"56","2000","1. Democrat","6. Other or multiple races, non-Hispanic (1968-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"57","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"58","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"59","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"60","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"61","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"62","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"63","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"64","2000","4. Other (incl. 3d/minor party candidates and write-ins)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"65","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"66","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"67","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"68","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"69","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"70","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"71","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"72","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"73","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"74","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"75","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"76","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"77","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"78","2000","1. Democrat","3. Asian or Pacific Islander, non-Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"79","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"80","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"81","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"82","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"83","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"84","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"85","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"86","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"87","2000","4. Other (incl. 3d/minor party candidates and write-ins)","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"88","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"89","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"90","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"91","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"92","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"93","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"94","2000","1. Democrat","2. Black non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"95","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"96","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"97","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"98","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"99","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"100","2000","1. Democrat","2. Black non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"101","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"102","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"103","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"104","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"105","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"106","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"107","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"108","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"109","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"110","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"111","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"112","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"113","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"114","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"115","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"116","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"117","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"118","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"119","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"120","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"121","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"122","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"123","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"124","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","1. Not registered, and did not vote"
"125","2000","7. Did not vote or voted but not for president (exc.1972)","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","1. Not registered, and did not vote"
"126","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"127","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"128","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"129","2000","1. Democrat","3. Asian or Pacific Islander, non-Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"130","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"131","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"132","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"133","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"134","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"135","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"136","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"137","2000","1. Democrat","2. Black non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"138","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"139","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"140","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"141","2000","4. Other (incl. 3d/minor party candidates and write-ins)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"142","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"143","2000","4. Other (incl. 3d/minor party candidates and write-ins)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"144","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"145","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"146","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"147","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"148","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"149","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"150","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"151","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"152","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"153","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"154","2000","2. Republican","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"155","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"156","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"157","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"158","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"159","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"160","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","1. Not registered, and did not vote"
"161","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"162","2000","2. Republican","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"163","2000","1. Democrat","6. Other or multiple races, non-Hispanic (1968-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"164","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"165","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"166","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"167","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"168","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
