"","year","vote","work","job","outofwork","turnout"
"58","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"59","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"60","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"61","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"62","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"63","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"64","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"65","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"66","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"67","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"68","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"69","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"70","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"71","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"72","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"73","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"74","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"75","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"76","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"77","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"78","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"79","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"80","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"81","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"82","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","1. Not registered, and did not vote"
"83","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"84","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"85","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"86","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"87","2004","2. Republican","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"88","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"89","2004","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"90","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"91","2004","7. Did not vote or voted but not for president (exc.1972)","5. Retired","5. Not much at all","5. No","2. Registered, but did not vote"
"92","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"93","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"94","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"95","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"96","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"97","2004","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"98","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"99","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"100","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"101","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"102","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"103","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"104","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"105","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"106","2004","2. Republican","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"107","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"108","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"109","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"110","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"111","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"112","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"113","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","2. Registered, but did not vote"
"114","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"115","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"116","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"117","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","2. Registered, but did not vote"
"118","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"119","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"120","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"121","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"122","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"123","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"124","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"125","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"126","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"127","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"128","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"129","2004","2. Republican","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"130","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"131","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"132","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"133","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"134","2004","2. Republican","6. Permanently disabled","5. Not much at all","5. No","3. Voted (registered)"
"135","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"136","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"137","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"138","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"139","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"140","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"141","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"142","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"143","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"144","2004","7. Did not vote or voted but not for president (exc.1972)","8. Student","5. Not much at all","5. No","2. Registered, but did not vote"
"145","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"146","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"147","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"148","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"149","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"150","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"151","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"152","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"153","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"154","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"155","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"156","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"157","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"158","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"159","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"160","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"161","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"162","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"163","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"164","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"165","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"166","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"167","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"168","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"169","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"170","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"171","2004","1. Democrat","5. Retired","5. Not much at all","5. No","3. Voted (registered)"
"172","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"173","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"174","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"175","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"176","2004","4. Other (incl. 3d/minor party candidates and write-ins)","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"177","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"178","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"179","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"180","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"181","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"182","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"183","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"184","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"185","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"186","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"187","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"188","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"189","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"190","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"191","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"192","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"193","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","2. Registered, but did not vote"
"194","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"195","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"196","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"197","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"198","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"199","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","2. Registered, but did not vote"
"200","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"201","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"202","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"203","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"204","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"205","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"206","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"207","2004","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"208","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"209","2004","1. Democrat","7. Homemaker","5. Not much at all","5. No","3. Voted (registered)"
"210","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"211","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","2. Registered, but did not vote"
"212","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"213","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"214","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"215","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"216","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"217","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"218","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"219","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"220","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"221","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"222","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"223","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"224","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"225","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"226","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"227","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"228","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"229","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"230","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"231","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"232","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","1. Not registered, and did not vote"
"233","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"234","2004","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"235","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"236","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","2. Registered, but did not vote"
"237","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"238","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"239","2004","2. Republican","5. Retired","5. Not much at all","1. Yes","3. Voted (registered)"
"240","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","1. Not registered, and did not vote"
"241","2004","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"242","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"243","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"244","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"245","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"246","2004","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"247","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","2. Registered, but did not vote"
"248","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"249","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"250","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","2. Registered, but did not vote"
"251","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"252","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"253","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"254","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"255","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","2. Registered, but did not vote"
"256","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"257","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"258","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"259","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"260","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"261","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"262","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"263","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"264","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"265","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"266","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","2. Registered, but did not vote"
"267","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"268","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"269","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"270","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"271","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"272","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"273","2004","2. Republican","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"274","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"275","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"276","2004","2. Republican","7. Homemaker","3. Somewhat","1. Yes","3. Voted (registered)"
"277","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"278","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"279","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"280","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"281","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"282","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"283","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"284","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","1. Yes","2. Registered, but did not vote"
"285","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"286","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"287","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"288","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"289","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"290","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"291","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"292","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"293","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"294","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"295","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"296","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"297","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"298","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"299","2004","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"300","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"301","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"302","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"303","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"304","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"305","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"306","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
